content_id,publish_at,section_id,content_type,is_paywalled,word_cnt,author_primary_id,headline_len,has_number_in_headline,is_sponsored
cnt_20241001_001,2024-10-01 20:59:00,sec_vid,video,False,1088,stf_0433,17,True,False
cnt_20241001_002,2024-10-01 17:09:00,sec_pod,news,False,969,stf_0357,19,False,False
cnt_20241001_003,2024-10-01 15:30:00,sec_tech,feature,True,3471,stf_0302,16,True,False
cnt_20241001_004,2024-10-01 09:32:00,sec_opin,feature,False,4181,stf_0295,21,True,False
cnt_20241001_005,2024-10-01 16:23:00,sec_edu,feature,False,3465,stf_0104,12,False,False
cnt_20241001_006,2024-10-01 19:11:00,sec_vid,video,False,672,stf_0433,18,True,False
cnt_20241001_007,2024-10-01 13:18:00,sec_opin,news,False,406,stf_0056,12,False,False
cnt_20241001_008,2024-10-01 20:03:00,sec_vid,video,False,1220,stf_0224,13,False,False
cnt_20241001_009,2024-10-01 18:12:00,sec_vid,video,False,1277,stf_0060,16,False,False
cnt_20241001_010,2024-10-01 19:55:00,sec_shop,feature,False,2600,stf_0158,17,False,False
cnt_20241001_011,2024-10-01 19:41:00,sec_vid,video,False,1390,stf_0224,16,False,True
cnt_20241001_012,2024-10-01 13:47:00,sec_life,news,False,1068,stf_0212,15,False,False
cnt_20241001_013,2024-10-01 22:39:00,sec_vid,video,False,1090,stf_0001,22,True,False
cnt_20241001_014,2024-10-01 17:20:00,sec_vid,feature,False,3728,stf_0083,19,True,False
cnt_20241001_015,2024-10-01 18:29:00,sec_shop,news,False,945,stf_0421,12,False,False
cnt_20241001_016,2024-10-01 13:24:00,sec_soc,news,False,396,stf_0008,21,True,False
cnt_20241001_017,2024-10-01 09:09:00,sec_vid,news,False,861,stf_0106,10,False,False
cnt_20241001_018,2024-10-01 18:52:00,sec_env,feature,True,1912,stf_0096,12,False,False
cnt_20241001_019,2024-10-01 19:22:00,sec_vid,video,False,872,stf_0396,25,True,False
cnt_20241001_020,2024-10-01 20:01:00,sec_vid,video,False,1011,stf_0001,12,True,False
cnt_20241001_021,2024-10-01 16:34:00,sec_event,news,False,626,stf_0259,15,False,False
cnt_20241001_022,2024-10-01 16:02:00,sec_tech,news,True,1010,stf_0145,11,False,False
cnt_20241001_023,2024-10-01 13:18:00,sec_pod,podcast,False,4661,stf_0129,12,False,False
cnt_20241001_024,2024-10-01 13:16:00,sec_fin,news,True,364,stf_0358,13,True,False
cnt_20241001_025,2024-10-01 19:24:00,sec_deep,news,True,869,stf_0086,18,True,False
cnt_20241001_026,2024-10-01 14:54:00,sec_shop,news,False,710,stf_0045,21,False,False
cnt_20241001_027,2024-10-01 14:56:00,sec_brand,news,False,651,stf_0365,19,False,False
cnt_20241001_028,2024-10-01 13:20:00,sec_ent,news,False,788,stf_0015,17,False,False
cnt_20241001_029,2024-10-01 07:56:00,sec_intl,news,False,1186,stf_0117,8,False,False
cnt_20241001_030,2024-10-01 13:18:00,sec_ent,feature,False,3840,stf_0015,8,False,False
cnt_20241001_031,2024-10-01 10:18:00,sec_shop,news,False,929,stf_0373,14,True,False
cnt_20241001_032,2024-10-01 15:43:00,sec_opin,news,False,709,stf_0040,12,False,False
cnt_20241001_033,2024-10-01 14:21:00,sec_fin,news,True,1158,stf_0049,14,False,False
cnt_20241001_034,2024-10-01 13:15:00,sec_pod,podcast,False,5552,stf_0226,9,False,False
cnt_20241001_035,2024-10-01 16:04:00,sec_opin,feature,False,2554,stf_0250,13,False,False
cnt_20241001_036,2024-10-01 17:52:00,sec_shop,feature,True,2921,stf_0029,20,True,False
cnt_20241001_037,2024-10-01 10:28:00,sec_brand,feature,False,2375,stf_0303,22,True,False
cnt_20241001_038,2024-10-01 18:20:00,sec_shop,news,False,887,stf_0029,12,False,False
cnt_20241001_039,2024-10-01 10:56:00,sec_event,news,False,585,stf_0241,17,True,False
cnt_20241002_001,2024-10-02 14:49:00,sec_pod,podcast,False,5850,stf_0055,17,True,False
cnt_20241002_002,2024-10-02 11:27:00,sec_env,news,True,909,stf_0368,10,False,False
cnt_20241002_003,2024-10-02 16:45:00,sec_env,news,True,1039,stf_0290,20,False,False
cnt_20241002_004,2024-10-02 07:39:00,sec_ent,news,False,344,stf_0070,18,False,False
cnt_20241002_005,2024-10-02 15:12:00,sec_opin,news,False,1097,stf_0331,12,False,False
cnt_20241002_006,2024-10-02 12:18:00,sec_ent,feature,True,3200,stf_0415,14,False,False
cnt_20241002_007,2024-10-02 17:47:00,sec_edu,news,False,688,stf_0206,22,False,False
cnt_20241002_008,2024-10-02 17:23:00,sec_event,news,False,792,stf_0090,14,False,False
cnt_20241002_009,2024-10-02 12:11:00,sec_edu,feature,False,3450,stf_0191,11,False,False
cnt_20241002_010,2024-10-02 10:11:00,sec_ent,news,False,874,stf_0359,18,True,False
cnt_20241002_011,2024-10-02 09:22:00,sec_soc,news,False,904,stf_0441,18,False,False
cnt_20241002_012,2024-10-02 09:39:00,sec_short,news,False,511,stf_0323,17,False,False
cnt_20241002_013,2024-10-02 15:18:00,sec_ent,feature,False,2969,stf_0359,20,False,False
cnt_20241002_014,2024-10-02 18:31:00,sec_ent,news,False,866,stf_0118,13,False,False
cnt_20241002_015,2024-10-02 22:25:00,sec_vid,video,False,928,stf_0396,17,False,False
cnt_20241002_016,2024-10-02 18:17:00,sec_vid,video,False,1054,stf_0423,18,False,False
cnt_20241002_017,2024-10-02 18:20:00,sec_vid,video,False,1055,stf_0179,15,False,False
cnt_20241002_018,2024-10-02 11:47:00,sec_short,feature,True,3962,stf_0318,11,False,False
cnt_20241002_019,2024-10-02 15:17:00,sec_pod,podcast,False,4522,stf_0363,17,True,False
cnt_20241002_020,2024-10-02 08:22:00,sec_env,feature,True,4285,stf_0168,15,False,False
cnt_20241002_021,2024-10-02 18:40:00,sec_intl,news,False,558,stf_0014,12,False,False
cnt_20241002_022,2024-10-02 15:09:00,sec_pod,podcast,False,6996,stf_0055,14,False,False
cnt_20241002_023,2024-10-02 14:13:00,sec_sport,news,False,871,stf_0222,13,False,False
cnt_20241002_024,2024-10-02 17:17:00,sec_pod,news,False,1226,stf_0261,15,False,False
cnt_20241002_025,2024-10-02 19:17:00,sec_vid,video,False,922,stf_0165,14,True,False
cnt_20241002_026,2024-10-02 17:52:00,sec_soc,news,False,771,stf_0172,11,False,False
cnt_20241002_027,2024-10-02 17:25:00,sec_sport,news,False,832,stf_0233,18,True,False
cnt_20241002_028,2024-10-02 11:07:00,sec_pod,news,False,1231,stf_0227,16,False,False
cnt_20241002_029,2024-10-02 14:43:00,sec_env,feature,True,2875,stf_0210,16,False,False
cnt_20241002_030,2024-10-02 13:12:00,sec_brand,feature,False,2810,stf_0309,10,False,False
cnt_20241002_031,2024-10-02 16:14:00,sec_fin,news,True,776,stf_0137,21,True,False
cnt_20241002_032,2024-10-02 13:17:00,sec_intl,news,False,738,stf_0188,18,False,False
cnt_20241002_033,2024-10-02 16:51:00,sec_sport,news,False,810,stf_0300,15,True,False
cnt_20241002_034,2024-10-02 12:02:00,sec_deep,news,True,1010,stf_0156,18,True,False
cnt_20241002_035,2024-10-02 19:08:00,sec_event,news,False,614,stf_0436,22,False,False
cnt_20241002_036,2024-10-02 10:46:00,sec_opin,news,False,1112,stf_0282,9,False,False
cnt_20241002_037,2024-10-02 09:50:00,sec_deep,news,True,439,stf_0101,20,False,False
cnt_20241002_038,2024-10-02 10:59:00,sec_event,news,False,543,stf_0468,12,False,False
cnt_20241002_039,2024-10-02 19:25:00,sec_fin,news,True,754,stf_0033,17,False,False
cnt_20241002_040,2024-10-02 10:18:00,sec_deep,news,True,838,stf_0003,18,True,False
cnt_20241002_041,2024-10-02 11:54:00,sec_short,news,False,861,stf_0471,16,False,False
cnt_20241003_001,2024-10-03 09:30:00,sec_ent,news,False,1148,stf_0352,14,False,False
cnt_20241003_002,2024-10-03 15:38:00,sec_brand,news,False,809,stf_0365,17,False,False
cnt_20241003_003,2024-10-03 21:19:00,sec_vid,video,False,388,stf_0379,10,True,False
cnt_20241003_004,2024-10-03 19:57:00,sec_vid,video,False,1206,stf_0179,19,True,False
cnt_20241003_005,2024-10-03 18:23:00,sec_brand,feature,True,3914,stf_0157,13,False,False
cnt_20241003_006,2024-10-03 14:36:00,sec_opin,news,False,966,stf_0020,20,True,False
cnt_20241003_007,2024-10-03 11:17:00,sec_shop,news,False,696,stf_0108,17,True,False
cnt_20241003_008,2024-10-03 09:58:00,sec_short,news,False,436,stf_0364,15,False,False
cnt_20241003_009,2024-10-03 07:37:00,sec_pod,feature,True,3304,stf_0454,18,False,False
cnt_20241003_010,2024-10-03 18:34:00,sec_fin,feature,True,1900,stf_0194,13,False,False
cnt_20241003_011,2024-10-03 15:45:00,sec_env,news,True,824,stf_0384,13,False,False
cnt_20241003_012,2024-10-03 17:08:00,sec_pol,news,False,813,stf_0229,10,False,False
cnt_20241003_013,2024-10-03 11:36:00,sec_edu,news,False,502,stf_0255,15,True,False
cnt_20241003_014,2024-10-03 19:48:00,sec_ent,feature,True,3841,stf_0004,15,False,False
cnt_20241003_015,2024-10-03 09:02:00,sec_sport,news,False,994,stf_0300,19,False,False
cnt_20241003_016,2024-10-03 15:18:00,sec_env,feature,True,2459,stf_0264,20,True,False
cnt_20241003_017,2024-10-03 21:18:00,sec_vid,video,False,1080,stf_0423,18,True,False
cnt_20241003_018,2024-10-03 16:06:00,sec_opin,feature,False,1572,stf_0295,15,False,False
cnt_20241003_019,2024-10-03 14:27:00,sec_pod,podcast,False,5387,stf_0357,13,True,False
cnt_20241003_020,2024-10-03 11:23:00,sec_shop,news,False,695,stf_0347,15,False,False
cnt_20241003_021,2024-10-03 22:18:00,sec_vid,video,False,649,stf_0214,17,False,False
cnt_20241003_022,2024-10-03 08:23:00,sec_pod,podcast,False,5722,stf_0094,18,False,False
cnt_20241003_023,2024-10-03 12:33:00,sec_short,news,False,748,stf_0364,16,False,False
cnt_20241003_024,2024-10-03 12:14:00,sec_env,news,True,687,stf_0210,17,False,False
cnt_20241003_025,2024-10-03 21:13:00,sec_vid,video,False,1481,stf_0001,11,False,False
cnt_20241003_026,2024-10-03 18:53:00,sec_sport,news,False,973,stf_0398,13,False,False
cnt_20241003_027,2024-10-03 10:24:00,sec_vid,news,False,1027,stf_0068,14,False,False
cnt_20241003_028,2024-10-03 22:15:00,sec_vid,video,False,799,stf_0068,19,False,False
cnt_20241003_029,2024-10-03 07:54:00,sec_ent,feature,True,4276,stf_0204,24,True,False
cnt_20241003_030,2024-10-03 07:34:00,sec_env,news,True,719,stf_0384,15,False,False
cnt_20241003_031,2024-10-03 16:22:00,sec_pod,podcast,False,4227,stf_0273,11,False,False
cnt_20241003_032,2024-10-03 14:02:00,sec_pod,podcast,False,4277,stf_0444,17,False,False
cnt_20241003_033,2024-10-03 14:57:00,sec_soc,news,False,1065,stf_0451,17,True,False
cnt_20241003_034,2024-10-03 11:42:00,sec_deep,news,True,504,stf_0153,17,True,False
cnt_20241003_035,2024-10-03 15:59:00,sec_pol,news,False,912,stf_0404,10,False,False
cnt_20241003_036,2024-10-03 18:11:00,sec_vid,video,False,804,stf_0019,12,False,False
cnt_20241003_037,2024-10-03 15:27:00,sec_deep,news,True,421,stf_0003,13,False,False
cnt_20241003_038,2024-10-03 11:45:00,sec_env,news,True,672,stf_0140,14,False,False
cnt_20241003_039,2024-10-03 09:14:00,sec_vid,feature,True,4070,stf_0234,17,False,False
cnt_20241003_040,2024-10-03 09:49:00,sec_vid,news,False,936,stf_0001,12,True,False
cnt_20241003_041,2024-10-03 12:52:00,sec_event,news,False,956,stf_0090,19,False,False
cnt_20241003_042,2024-10-03 10:26:00,sec_deep,news,True,986,stf_0101,11,True,False
cnt_20241003_043,2024-10-03 18:01:00,sec_pol,feature,False,2896,stf_0065,20,False,False
cnt_20241003_044,2024-10-03 19:30:00,sec_pol,news,False,495,stf_0404,19,False,False
cnt_20241003_045,2024-10-03 08:52:00,sec_pod,news,False,897,stf_0062,17,False,False
cnt_20241003_046,2024-10-03 16:37:00,sec_shop,news,False,1051,stf_0458,10,False,False
cnt_20241003_047,2024-10-03 13:36:00,sec_env,news,True,851,stf_0054,15,True,False
cnt_20241003_048,2024-10-03 22:17:00,sec_vid,video,False,1486,stf_0123,13,False,False
cnt_20241004_001,2024-10-04 10:15:00,sec_life,news,False,563,stf_0047,14,True,False
cnt_20241004_002,2024-10-04 14:51:00,sec_pod,news,False,1048,stf_0426,13,False,False
cnt_20241004_003,2024-10-04 13:10:00,sec_event,news,False,1041,stf_0315,18,False,False
cnt_20241004_004,2024-10-04 21:21:00,sec_vid,video,False,1122,stf_0433,14,False,False
cnt_20241004_005,2024-10-04 13:47:00,sec_opin,news,False,921,stf_0282,16,False,False
